사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,2호선,0214,강변(동서울터미널),30,2,"8,373","2,394","27,379","23,709","76,751","27,542","111,007","47,337","78,950","40,935","64,278","37,250","55,877","35,506","53,064","40,312","48,816","44,126","45,436","47,902","49,129","55,587","52,723","62,741","59,256","76,994","64,728","105,772","45,490","75,504","35,872","51,889","29,095","45,224","20,431","43,013","7,783","24,291",664,"4,999",0,13,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0215,잠실나루,7,0,"3,239","1,885","11,814","10,270","37,453","22,165","44,185","37,409","28,168","23,672","22,841","18,233","22,548","16,054","21,457","18,945","20,180","20,919","21,269","18,956","23,453","18,392","28,292","19,992","33,808","25,614","29,068","37,466","14,177","27,672","10,848","17,407","8,352","17,446","6,296","16,732","2,850","9,987",262,"2,053",0,32,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0216,잠실(송파구청),111,12,"11,524","5,179","48,014","34,236","111,626","72,762","154,459","160,573","112,938","143,283","79,218","104,314","77,375","109,164","84,383","105,716","91,933","107,462","98,824","107,070","115,921","112,673","137,039","126,747","174,991","158,763","216,971","213,917","140,720","140,712","147,381","90,397","129,419","85,112","91,407","81,630","29,450","47,258","3,066","7,153",2,84,1,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0217,잠실새내,34,0,"5,182",908,"16,660","8,903","52,930","16,376","71,787","27,343","44,609","28,916","30,845","23,573","29,294","24,578","30,896","28,309","30,704","32,421","28,328","34,568","31,700","39,645","34,311","44,863","36,621","56,950","38,822","79,583","28,162","55,520","26,060","32,969","26,935","29,898","28,348","28,258","15,657","16,616","1,845","3,891",0,81,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0218,종합운동장,19,3,"1,852",951,"5,672","9,063","15,760","18,046","21,460","28,042","15,014","14,411","11,564","11,783","11,055","10,797","11,208","15,753","10,598","19,886","10,753","26,058","14,201","41,712","17,447","70,438","17,829","54,399","20,711","51,551","19,854","20,068","49,189","10,809","60,529","11,242","70,532","11,197","8,598","6,150",282,"1,522",1,58,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0219,삼성(무역센터),172,0,"4,661","4,969","7,174","40,185","13,649","129,653","19,288","323,820","19,866","231,082","22,580","108,463","33,798","80,150","43,041","74,332","56,682","81,901","71,890","68,947","91,571","58,431","118,246","53,727","205,483","56,713","290,208","60,514","150,091","34,189","111,861","17,343","98,692","14,679","68,338","12,094","19,881","7,012","2,465","4,867",0,910,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0220,선릉,126,1,"4,876","6,024","10,917","39,145","20,134","109,061","31,816","276,287","29,694","211,240","33,863","102,872","44,289","62,241","53,683","55,978","62,086","63,598","69,550","52,001","88,922","46,202","113,669","44,774","178,789","52,116","283,862","56,650","138,660","33,407","88,569","20,512","86,648","17,487","75,143","17,414","28,111","10,937","3,709","3,539",2,68,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0221,역삼,32,0,"4,342","6,889","8,419","38,605","14,518","138,583","24,710","341,386","22,122","295,278","23,317","121,710","32,063","67,548","38,706","57,158","47,755","62,011","55,410","50,278","73,338","44,717","95,609","43,262","197,318","49,123","274,727","57,151","144,822","34,283","84,413","20,536","80,109","16,757","59,777","14,805","22,742","9,700","3,222","2,294",2,21,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0222,강남,231,8,"11,812","10,667","19,128","49,306","37,334","147,542","61,796","305,615","49,452","306,893","48,697","144,675","64,729","104,013","80,181","101,665","95,697","116,290","106,394","100,877","131,625","96,733","154,526","103,352","231,839","130,234","314,775","176,913","196,425","105,348","155,347","55,982","180,108","46,747","176,473","40,499","81,016","26,765","12,407","5,773",2,35,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0223,교대(법원.검찰청),31,1,"2,704","6,687","12,304","25,438","25,311","55,637","34,601","150,151","28,907","135,456","27,834","66,777","33,612","58,230","36,285","51,596","44,697","54,299","52,203","48,694","56,175","46,004","60,601","49,087","94,306","62,102","135,546","74,611","63,525","42,325","53,108","24,388","57,607","21,871","49,479","20,758","18,823","13,520","2,754","2,557",4,4,0,0,0,0,2022-07-03 09:48:05
